"","X","pubDate","title","author","rating","ratingCount","reviewCount","synopsis","pageCount","genres","Fiction","Fantasy","Romance","Young Adult","Mystery","Historical","Contemporary","Nonfiction","Thriller","Science Fiction"
"11",11,1989-01-01,"Guards! Guards!","Terry Pratchett",4.33,141428,3390,"  Here there be dragons . . . and the denizens of Ankh-Morpork wish one huge firebreather would return from whence it came. Long believed extinct, a superb specimen of draco nobilis (""noble dragon"" for those who don't understand italics) has appeared in Discworld's greatest city. Not only does this unwelcome visitor have a nasty habit of charbroiling everything in its path, in rather short order it is crowned King (it is a noble dragon, after all . . .).Meanwhile, back at Unseen University, an ancient and long-forgotten volume--The Summoning of Dragons--is missing from the Library's shelves. To the rescue come Captain Vimes, Constable Carrot, and the rest of the Night Watch who, along with other brave citizens, risk everything, including a good roasting, to dethrone the flying monarch and restore order to Ankh-Morpork (before it's burned to a crisp). A rare tale, well done as only Terry Pratchett can.",376,"Fantasy,Fiction,Humor",1,1,0,0,0,0,0,0,0,0
"12",12,1989-01-01,"The Hobbit: Graphic Novel","Chuck Dixon",4.48,158009,1050,"  First published over 50 years ago, J.R.R. Tolkien's 'The Hobbit' has become one of the best-loved books of all time. Now Tolkien's fantasy classic has been adapted into a fully painted graphic novel.'The Hobbit' is the story of Bilbo Baggins…a quiet and contented hobbit whose life is turned upside down when he joins the wizard Gandalf and thirteen dwarves on their quest to reclaim the dwarves' stolen treasure. It is a journey fraught with danger – and in the end it is Bilbo alone who must face the guardian of this treasure, the most-dreaded dragon Smaug.Illustrated in full colour throughout, and accompanied by the carefully abridged text of the original novel, this handsome authorised edition will introduce new generations to a magical masterpiece – and be treasured by Hobbit fans of all ages, everywhere.",133,"Fantasy,Sequential Art,Graphic Novels,Classics,Fiction,Sequential Art,Comics",1,1,0,0,0,0,0,0,0,0
"13",13,1989-01-01,"Chicka Chicka Boom Boom","Bill Martin Jr.",4.22,131573,4127,"  The 26 characters in this rhythmic, rhyming baby book are a lowercase alphabet with attitude. ""A told b, and b told c, 'I'll meet you at the top of the coconut tree'""--which probably seemed like a good idea until the other 23 members of the gang decided to follow suit. The palm tree standing straight and tall on the first page begins to groan and bend under its alphabetical burden. First the coconuts fall off, then (""Chicka chicka... BOOM! BOOM!"") all the letters also end up in a big heap underneath.",40,"Childrens,Picture Books,Childrens",0,0,0,0,0,0,0,0,0,0
"14",14,1989-01-01,"The Dark Half","Stephen King",3.76,111385,1759,"  Thad Beaumont would like to say he is innocent. He'd like to say he has nothing to do with the series of monstrous murders that keep coming closer to his home. But how can Thad disown the ultimate embodiment of evil that goes by the name he gave it-and signs its crimes with Thad's bloody fingerprints?________________________Alternate cover editions:New English Library, 1990New English Library Early Export Edition, 1990",469,"Horror,Fiction,Thriller",1,0,0,0,0,0,0,0,1,0
"15",15,1989-01-01,"Clear and Present Danger","Tom Clancy",4.1,119554,722,"  Colombian drug lords, bored with Uncle Sam's hectoring, assassinate the head of the FBI. The message is clear: Bug off!At what point do these druggies threaten national security? When can a nation act against its enemies? These are questions Jack Ryan must answer because someone has quietly stepped over the line.Does anyone know who the real enemy is? How much action is too much? Which lines have been crossed? Ryan and his ""dark side"", a shadowy field officer known only as Mr. Clark, are charged with finding out. They expect danger from without... but the danger from within may be the greatest of all.",688,"Fiction,Thriller,Spy Thriller,Espionage,War,Military Fiction,Suspense",1,0,0,0,0,0,0,0,1,0
"16",16,1989-01-01,"Liar's Poker","Michael   Lewis",4.15,68430,1963,"  The time was the 1980s. The place was Wall Street. The game was called Liar’s Poker. Michael Lewis was fresh out of Princeton and the London School of Economics when he landed a job at Salomon Brothers, one of Wall Street’s premier investment firms. During the next three years, Lewis rose from callow trainee to bond salesman, raking in millions for the firm and cashing in on a modern-day gold rush. Liar’s Poker is the culmination of those heady, frenzied years—a behind-the-scenes look at a unique and turbulent time in American business. From the frat-boy camaraderie of the forty-first-floor trading room to the killer instinct that made ambitious young men gamble everything on a high-stakes game of bluffing and deception, here is Michael Lewis’s knowing and hilarious insider’s account of an unprecedented era of greed, gluttony, and outrageous fortune. .",310,"Nonfiction,Business,Economics,Finance,Economics,History,Biography",0,0,0,0,0,0,0,1,0,0
"17",17,1989-01-01,"The Power of One","Bryce Courtenay",4.35,70597,4946,"  In 1939, as Hitler casts his enormous, cruel shadow across the world, the seeds of apartheid take root in South Africa. There, a boy called Peekay is born. His childhood is marked by humiliation and abandonment, yet he vows to survive and conceives heroic dreams, which are nothing compared to what life actually has in store for him. He embarks on an epic journey through a land of tribal superstition and modern prejudice where he will learn the power of words, the power to transform lives and the power of one.",544,"Fiction,Historical,Historical Fiction,Cultural,Africa,Classics",1,0,0,0,0,1,0,0,0,0
"18",18,1989-01-01,"Geek Love","Katherine Dunn",3.97,50020,5484,"  Geek Love is the story of the Binewskis, a carny family whose mater- and paterfamilias set out–with the help of amphetamine, arsenic, and radioisotopes–to breed their own exhibit of human oddities. There’s Arturo the Aquaboy, who has flippers for limbs and a megalomaniac ambition worthy of Genghis Khan . . . Iphy and Elly, the lissome Siamese twins . . . albino hunchback Oly, and the outwardly normal Chick, whose mysterious gifts make him the family’s most precious–and dangerous–asset. As the Binewskis take their act across the backwaters of the U.S., inspiring fanatical devotion and murderous revulsion; as its members conduct their own Machiavellian version of sibling rivalry, Geek Love throws its sulfurous light on our notions of the freakish and the normal, the beautiful and the ugly, the holy and the obscene. Family values will never be the same.",348,"Fiction,Horror,Fantasy,Contemporary",1,1,0,0,0,0,1,0,0,0
"19",19,1989-01-01,"Rules of Prey","John Sandford",4.12,64331,1909,"  The ""maddog"" murderer who is terrorizing the Twin Cities is two things: insane and extremely intelligent. He kills for the pleasure of it and thoroughly enjoys placing elaborate obstacles to keep police befuddled. Each clever move he makes is another point of pride. But when the brilliant Lieutenant Lucas Davenport--a dedicated cop and a serial killer's worst nightmare--is brought in to take up the investigation, the maddog suddenly has an adversary worthy of his genius.",479,"Mystery,Fiction,Thriller,Mystery,Crime,Thriller,Mystery Thriller",1,0,0,0,1,0,0,0,1,0
"20",20,1989-01-01,"A Year in Provence","Peter Mayle",3.96,55107,2694,"  National Bestseller In this witty and warm-hearted account, Peter Mayle tells what it is like to realize a long-cherished dream and actually move into a 200-year-old stone farmhouse in the remote country of the Lubéron with his wife and two large dogs. He endures January's frosty mistral as it comes howling down the Rhône Valley, discovers the secrets of goat racing through the middle of town, and delights in the glorious regional cuisine. A Year in Provence transports us into all the earthy pleasures of Provençal life and lets us live vicariously at a tempo governed by seasons, not by days.",207,"Travel,Nonfiction,Autobiography,Memoir,Cultural,France,Food and Drink,Food,Biography",0,0,0,0,0,0,0,1,0,0
"21",21,1989-01-01,"Pyramids","Terry Pratchett",3.9,60570,1605,"  It's bad enough being new on the job, but Teppic hasn't a clue as to what a pharaoh is supposed to do. After all, he's been trained at Ankh-Morpork's famed assassins' school, across the sea from the Kingdom of the Sun. First, there's the monumental task of building a suitable resting place for Dad -- a pyramid to end all pyramids. Then there are the myriad administrative duties, such as dealing with mad priests, sacred crocodiles, and marching mummies. And to top it all off, the adolescent pharaoh discovers deceit, betrayal - not to mention a headstrong handmaiden - at the heart of his realm.",341,"Fantasy,Fiction,Humor",1,1,0,0,0,0,0,0,0,0
"22",22,1989-01-01,"The Lost Continent: Travels in Small Town America","Bill Bryson",3.83,46232,2414,"  'I come from Des Moines. Somebody had to'And, as soon as Bill Bryson was old enough, he left. Des Moines couldn't hold him, but it did lure him back. After ten years in England, he returned to the land of his youth, and drove almost 14,000 miles in search of a mythical small town called Amalgam, the kind of trim and sunny place where the films of his youth were set. Instead, his search led him to Anywhere, USA; a lookalike strip of gas stations, motels and hamburger outlets populated by lookalike people with a penchant for synthetic fibres. Travelling around thirty-eight of the lower states - united only in their mind-numbingly dreary uniformity - he discovered a continent that was doubly lost; lost to itself because blighted by greed, pollution, mobile homes and television; lost to him because he had become a stranger in his own land.The Lost Continent is a classic of travel literature - hilariously, stomach-achingly funny, yet tinged with heartache - and the book that first staked Bill Bryson's claim as the most beloved writer of his generation.",299,"Travel,Nonfiction,Humor,Autobiography,Memoir",0,0,0,0,0,0,0,1,0,0
"23",23,1989-01-01,"The Bride","Julie Garwood",4.26,50217,2038,"  From New York Times bestselling author Julie Garwood, whose novels have enchanted millions of readers worldwide, comes a breathtakingly romantic novel about a mismatched young wife and husband who, despite their differences in background and temperament, fall inexorably in love. The Bride sweeps readers back to the savage beauty of medieval Scotland....  By the king's edict, Alec Kincaid, mightiest of the Scottish lairds, must take an English bride. And Jaime the youngest daughter of Baron Jamison, is his choice. From his first glimpse of the proud and beautiful English lady, Alec felt a burning hunger stir within him. This was a woman worthy of his fearless warrior's spirit. And he aches to touch her, tame her, possess her...forever.  But with the wedding vows, Jamie pledges her own secret oath: She will never surrender her love to this Highland barbarian. He was everything her heart warned her against -- an arrogant, brooding scoundrel whose rough good looks and seductive embrace fire her blood. But when strange accidents begin to threaten Jamie's life and an old rumor that Alec killed his first wife spreads anew, something far more dangerous than desire threatens to conquer her senses.  With all the storytelling power and insight into the human heart that have made her one of the bestselling authors of our time, Julie Garwood takes readers on an unforgettable romantic journey rich in humor, suspense, and historical detail.",352,"Romance,Historical Romance,Romance,Historical,Historical,Historical Fiction,Historical,Medieval",1,0,1,0,0,1,0,0,0,0
"24",24,1989-01-01,"Anne Rice's The Vampire Lestat: A Graphic Novel","Faye Perozich",4.19,67818,136,"  Collected for the first time, here are the twelve extraordinary illustrated volumes that form the graphic novel of THE VAMPIRE LESTAT. Evocative full-color paintings and an artful abridgment of the original text capture the inimitable spirit and atmosphere of this passionate, complex, and thrilling tale.The story begins in our own time with Lestat, tall, blond, and handsome, a world-renowned rock star. His gifts are timeless, his youth never withers. But he was not always the powerful and famous child of darkness. Before his long earth-encrusted sleep, he was an aristocrat in the heady days of pre-Revolutionary France. It was then that he came face-to-face with the incarnation of evil and the temptations of love that he has ravenously pursued through time. Where it has led him and what he has become is the heart of the tale that has captured millions of readers.",404,"Horror,Paranormal,Vampires,Fantasy,Sequential Art,Graphic Novels,Fiction",1,1,0,0,0,0,0,0,0,0
"25",25,1989-01-01,"Batman: Arkham Asylum - A Serious House on Serious Earth","Grant Morrison",4.1,53376,1670,"  In this groundbreaking, painted graphic novel, the inmates of Arkham Asylum have taken over Gotham's detention center for the criminally insane on April Fools Day, demanding Batman in exchange for their hostages. Accepting their demented challenge, Batman is forced to live and endure the personal hells of the Joker, Scarecrow, Poison Ivy, Two-Face and many other sworn enemies in order to save the innocents and retake the prison. During his run through this absurd gauntlet, the Dark Knight's own sanity is placed in jeopardy. This special anniversary edition trade paperback also reproduces the original script with annotations by Morrison and editor Karen Berger.",216,"Sequential Art,Comics,Sequential Art,Graphic Novels,Dc Comics,Batman,Fiction,Superheroes,Dc Comics,Horror",1,0,0,0,0,0,0,0,0,0
"26",26,1989-01-01,"A Kingdom of Dreams","Judith McNaught",4.24,40227,1728,"  Abducted from her convent school, headstrong Scottish beauty Jennifer Merrick does not easily surrender to Royce Westmoreland, Duke of Claymore. Known as ""The Wolf""; his very name strikes terror in the hearts of his enemies. But proud Jennifer will have nothing to do with the fierce English warrior who holds her captive, this handsome rogue who taunts her with his blazing arrogance. Boldly she challenges his will... until the night he takes her in his powerful embrace, awakening in her an irresistible hunger. And suddenly Jennifer finds herself ensnared in a bewildering web... a seductive, dangerous trap of pride, passion, loyalty, and overwhelming love.",438,"Romance,Historical Romance,Romance,Historical,Historical,Historical Fiction,Historical,Medieval,Fiction,Adult,Historical Romance,Medieval Romance,Womens Fiction,Chick Lit,Cultural,Scotland",1,0,1,0,0,1,0,0,0,0
"27",27,1989-01-01,"Wayside School Is Falling Down","Louis Sachar",4.17,53451,883,"Louis yard teacher starts off 30 tales of unusual students. Comic sketches precede every chapter. Todd brings a cute adorable plastic puppy who bites back when Joy steals it. Cafeteria Mrs Mush serves Mushroom Surprise that changes Ron. When Paul falls out the window, Leslie offers her pigtails to pull him back. On 19th floor, invisible Allison finds Miss Zarves' class.",152,"Childrens,Fiction,Humor",1,0,0,0,0,0,0,0,0,0
"28",28,1989-01-01,"Piercing the Darkness","Frank E. Peretti",4.31,49943,652,"  The light shines in the darkness, and the darkness has not overcome it.John 1:5 (ESV)It all begins in Bacon's Corner, a tiny farming community far from the interstate . . . An attempted murder, a case of mistaken-or is it covered up?-identity, and a ruthless lawsuit against a struggling Christian school. Sally Beth Roe, a young loner, a burnout, a kind of ""leftover hippie,""finds herself caught in the middle of these bizarre events, fleeing for her life while trying to recall her dark past.Across a vast panorama of heart-stopping action, Sally Roe's journey is a penetrating portrayal of our times, a reflection of our wanderings, and a vivid reminder of the redemptive power of the Cross. A companion volume to This Present Darkness, readers have purchased over two million copies of Piercing the Darkness since its publication in 1989.",448,"Christian Fiction,Fiction,Christian,Fantasy,Thriller",1,1,0,0,0,0,0,0,1,0
"29",29,1989-01-01,"The Mummy","Anne Rice",3.83,41041,1048,"  Ramses the Great has reawakened in opulent Edwardian London. Having drunk the elixir of life, he is now Ramses the Damned, doomed forever to wander the earth, desperate to quell hungers that can never be satisfied. He becomes the close companion of a voluptuous heiress, Julie Stratford, but his cursed past again propels him toward disaster. He is tormented by searing memories of his last reawakening, at the behest of Cleopatra, his beloved queen of Egypt. And his intense longing for her, undiminished over the centuries, will force him to commit an act that will place everyone around him in the gravest danger.",480,"Horror,Fantasy,Fiction,Fantasy,Paranormal,Fantasy,Supernatural",1,1,0,0,0,0,0,0,0,0
"30",30,1989-01-01,"The Seat of the Soul","Gary Zukav",4,36341,668,"   A NOTE FROM THE AUTHOR: This hardcover edition of The Seat of the Soul celebrates its tenth anniversary. The Seat of the Soul became a national bestseller when it was first published, but more people are buying it now than ever before. Why is this?  It is because a new species is being born. The Seat of the Soul is about this birth. This new species longs for harmony, cooperation, sharing, and reverence for Life. It uses higher orders of logic and justice -- those of the heart. The number of people who are becoming aware of this birth is growing very fast, because the new species is being born inside all of us.  The Seat of the Soul provides a vocabulary for this new species -- a vocabulary of authentic power, the alignment of the personality with the soul. Human experience is exploding beyond the five senses, and The Seat of the Soul is about that, too. This is the most exciting time to be on Earth, and The Seat of the Soul describes why.  As we become aware of our new abilities and values, like a baby opening its eyes and stretching its arms and legs for the first time, we are also becoming aware of an entirely new potential that we have never had before. I have been writing a book about this new potential for nine years. I am looking forward to sharing that with you, too.  The tremendous growth of interest in The Seat of the Soul is humbling to me. I dream of a world where people respect each other and the living Earth, and spiritual growth is the first priority. I work daily to develop the awareness, compassion, and intentions that are necessary to create it. The extraordinary reception of The Seat of the Soul shows me, among other things, how many fellow souls are doing the same.  The more this happens, the more I see myself, with gratitude, as a traveler among travelers, an experimenter among experimenters, and a soul among souls.  Gary Zukav 1999",256,"Spirituality,Nonfiction,Self Help,Philosophy,Psychology",0,0,0,0,0,0,0,1,0,0
"31",31,1989-01-01,"The True Story of the 3 Little Pigs","Jon Scieszka",4.3,155136,3082,"You thought you knew the story of the “The Three Little Pigs”… You thought wrong. In this hysterical and clever fracture fairy tale picture book that twists point of view and perspective, young readers will finally hear the other side of the story of “The Three Little Pigs.”",32,"Childrens,Picture Books,Childrens",0,0,0,0,0,0,0,0,0,0
"32",32,1989-01-01,"The Mitten","Jan Brett",4.25,75739,1278,"  When Nicki drops his white mitten in the snow, he goes on without realizing that it is missing.One by one, woodland animals find it and crawl in; first, a curious mole, then a rabbit, a badger and others, each one larger than the last. Finally, a big brown bear is followed in by a tiny brown mouse and what happens next makes for a wonderfully funny climax.As the story of the animals in the mitten unfolds, the reader can see Nicki in the boarders of each page, walking through the woods unaware of what is going on.Once again Jan Brett has created a dramatic and beautiful picture book in her distinctive style. She brings the animals to life with warmth and humor, and her illustrations are full of visual delights and details faithful to the Ukrainian tradition from which the story comes.",32,"Childrens,Picture Books,Childrens,Animals,Fiction,Holiday,Christmas,Classics,Folklore,Childrens,Storytime,Kids,Fantasy",1,1,0,0,0,0,0,0,0,0
"33",33,1989-01-01,"Sorceress of Darshiva","David Eddings",4.11,39243,271,"  The Endless Quest...Troubles and delays continued to mount as Garion, Belgarath, Polgara, and the company pursued Zandramas across the known world. Possessed by the Dark Destiny, she had stolen Garion's infant son for a ritual that would destroy all that men valued. She was always one step ahead, taunting and spying on them, flying over in the form of a great dragon. Her armies, led by a Demon Lord, threatened on one side; on the other were the forces of Emperor Zakath, seeking to capture them. Somehow, as the Seeress of Kell had warned, they had to be at the Place Which Is No More for the ritual at the same time as Zandramas, or face disaster. But where that might be they still had no clue.",371,"Fantasy,Fiction,Fantasy,Epic Fantasy,Science Fiction Fantasy",1,1,0,0,0,0,0,0,0,1
"34",34,1989-01-01,"The Girl Next Door","Jack Ketchum",3.97,19136,2083,"  Suburbia. Shady, tree-lined streets, well-tended lawns and cozy homes. A nice, quiet place to grow up. Unless you are teenage Meg or her crippled sister, Susan. On a dead-end street, in the dark, damp basement of the Chandler house, Meg and Susan are left captive to the savage whims and rages of a distant aunt who is rapidly descending into madness. It is a madness that infects all three of her sons and finally the entire neighborhood. Only one troubled boy stands hesitantly between Meg and Susan and their cruel, torturous deaths. A boy with a very adult decision to make.",370,"Horror,Fiction,Thriller,Mystery,Crime,Crime,True Crime",1,0,0,0,1,0,0,0,1,0
"35",35,1989-01-01,"A Knight in Shining Armor","Jude Deveraux",4.23,31227,2097,"  Once upon a time... as a fair maiden lay weeping upon a cold tombstone, her heartfelt desire was suddenly made real before her: tall, broad of shoulder, attired in gleaming silver and gold, her knight in shining armor had come to rescue his damsel in distress...Abandoned by a cruel fate, lovely Dougless Montgomery lies weeping upon a cold tombstone in an English church. Suddenly, the most extraordinary man appears. It is Nicholas Stafford, Earl of Thornwyck…and according to his tombstone he died in 1564!Drawn to his side by a bond so sudden and compelling it overshadows reason, Dougless knows that Nicholas is nothing less than a miracle: a man who does not seek to change her, who finds her perfect, fascinating, just as she is. What Dougless never imagined was how strong the chains are that tie them to the past…or the grand adventure that lay before them.",464,"Romance,Science Fiction,Time Travel,Romance,Historical Romance,Historical,Historical,Historical Fiction,Fiction,Fantasy,Historical,Medieval,Romance,Time Travel Romance,Contemporary",1,1,1,0,0,1,1,0,0,1
